Nombre;Dirección;Teléfono;Email
Miss Sushi Alcalá de Henares;Plaza Cervantes, 24 28801 Alcalá de Henares;918 275 591;alcaladehenares@misssushi.es
Miss Sushi Alcobendas;C. C. Heron Diversia - Avda Bruselas 21-23 - 28108 Alcobendas (Madrid);910 741 386;alcobendas@misssushi.es
Miss Sushi Alicante;C/ Castaños, 3 - 03001 Alicante;966 444 006;alicante@misssushi.es
Miss Sushi Aribau;C/ Aribau, 3908011 - Barcelona;937 079 191;aribau@misssushi.es
Miss Sushi Illa Diagonal;C.C Illa Diagonal(Zona Jardines)08029 - Barcelona;931 931 082;illadiagonal@misssushi.es
Miss Sushi Castellón;C/ Mayor, 83 -  12001 Castellón;964 917 106;castello@misssushi.es
Miss Sushi Avenida de Brasil;Avenida de Brasil, 16 - 28020 Madrid;910 109 009;avenidadebrasil@misssushi.es
Miss Sushi Hortaleza;C/ Hortaleza, 108 - 28004 Madrid;912 307 151;hortaleza@misssushi.es
Miss Sushi Las Tablas;Paseo Tierra de Melide, 32, 28050, Madrid;910 561 473;lastablas@misssushi.es
Miss Sushi Santa Ana;C/ del Prado, 2 - 28014 Madrid;910 100 811;santa.ana@misssushi.es
Miss Sushi Serrano;C/ Padilla, 4 -  28006 Madrid;912 302 892;serrano@misssushi.es
Miss Sushi Málaga;Calle Córdoba, 6 - 29001 Málaga;952 754 483;malaga@misssushi.es
Miss Sushi Murcia;Plaza San Juan, 2 - 30003 Murcia;968 923 131;murcia@misssushi.es
Miss Sushi Oviedo;C/ Suárez de la Riva, 3 - 33007 Oviedo;984 155 655;oviedo@misssushi.es
Miss Sushi Pozuelo;Vía de las Dos Castillas, 33 Ática 6 - 28224 Pozuelo de Alarcón (Madrid);910 100 770;pozuelo@misssushi.es
Miss Sushi San Pablo;C/ San Pablo, 20 - 41001 Sevilla;955 549 328;sanpablo@misssushi.es
Miss Sushi Tarragona;Rambla Nova 14 - 43004 Tarragona;977 948 060;tarragona@misssushi.es
Miss Sushi Blasco Ibáñez;Avenida Blasco Ibáñez, 61 - 46021 Valencia;963 212 130;blasco@misssushi.es
Miss Sushi Cánovas;Plaza de Cánovas, 946005 Valencia;963 211 121;canovas@misssushi.es
Miss Sushi Cortes Valencianas;Avenida de las Cortes Valencianas, 39 - 46015 Valencia;963 212 321;cortes@misssushi.es
Miss Sushi Heron City;Carreta Ademuz. Salida 6 y 7 - 46980 Paterna (Valencia);963 212 105;heron@misssushi.es
Miss Sushi Coso;C/ Coso, 11 - 50003 Zaragoza;876 281 682;coso@misssushi.es
Miss Sushi Gómez Laguna;Av. Gómez Laguna 33 (Esq. Robert Baden-Powell) 50009 Zaragoza;876 651 788;gomezlaguna@misssushi.es
